ISO,total_SCI,total_edges,total_nodes,average_indegree,average_outdegree,average_SCI,std_SCI,global_clustering,average_betweenness,max_betweenness,average_closeness,max_closeness
BRN,1.960898e6,1,1,1.0,1.0,1.960898e6,NaN,1.0,0.0,0.0,0.0,0.0
BTN,2.610029e6,1,1,1.0,1.0,2.610029e6,NaN,1.0,0.0,0.0,0.0,0.0
BWA,8.74684904e8,120,15,15.0,15.0,3.8874884622222222e6,7.339846143575362e6,1.0,0.01391941391941392,0.09890109890109891,4.620034385409781e-7,5.494926887250302e-7
CAF,2.763736632e9,105,14,14.0,14.0,1.4100697102040816e7,4.111344590630664e7,1.0,0.07417582417582416,0.5128205128205128,5.147101751435386e-7,7.808085428623048e-7
CAN,1.0462552083e10,43071,293,293.0,293.0,121871.5661568568,2.4237556229449e6,1.0,0.011785462821656396,0.3287385313405651,0.0016269044551694175,0.0026112929477204844
CHE,3.20434473e8,351,26,26.0,26.0,474015.4926035503,2.9548867678794637e6,1.0,0.029230769230769234,0.6133333333333334,4.828333648946844e-5,7.553098280914832e-5
CHL,3.9962559e7,120,15,15.0,15.0,177611.37333333332,871839.8274036498,1.0,0.01904761904761905,0.14285714285714288,5.184451857298662e-5,6.018709588664191e-5
CIV,6.8502159e7,105,14,14.0,14.0,349500.8112244898,1.1937213747920943e6,1.0,0.008241758241758242,0.08974358974358974,7.654947064064861e-6,8.72112719898191e-6
CMR,4.62969e7,55,10,10.0,10.0,462969.0,861417.1557489589,1.0,0.044444444444444446,0.22222222222222224,7.13175431343754e-6,9.527277654511272e-6
COD,7.5145491e7,45,9,9.0,9.0,927722.1111111111,3.4253177393181897e6,1.0,0.06349206349206349,0.2857142857142857,9.76773527284244e-6,1.2383383357042352e-5
COG,6.68087344e8,78,12,12.0,12.0,4.639495444444444e6,1.2259681809186995e7,1.0,0.03181818181818182,0.2909090909090909,6.471448454514249e-7,8.383651757129571e-7
COL,3.30227543e8,528,32,32.0,32.0,322487.8349609375,3.6753844781330093e6,1.0,0.016330645161290326,0.31827956989247314,9.797896877217476e-5,0.00013984184338615747
COM,2.615401e6,1,1,1.0,1.0,2.615401e6,NaN,1.0,0.0,0.0,0.0,0.0
CPV,8.313876e6,1,1,1.0,1.0,8.313876e6,NaN,1.0,0.0,0.0,0.0,0.0
CRI,3.0127517e7,28,7,7.0,7.0,614847.2857142857,1.1332537626387274e6,1.0,0.028571428571428574,0.2,4.595029028791084e-6,5.598999645396689e-6
CUW,7.417385e6,1,1,1.0,1.0,7.417385e6,NaN,1.0,0.0,0.0,0.0,0.0
CYM,9.963452e6,1,1,1.0,1.0,9.963452e6,NaN,1.0,0.0,0.0,0.0,0.0
CYP,1.475956e6,1,1,1.0,1.0,1.475956e6,NaN,1.0,0.0,0.0,0.0,0.0
CZE,2.3679917e7,105,14,14.0,14.0,120815.9030612245,332449.7221714012,1.0,0.031135531135531136,0.20512820512820512,3.8381233766160804e-5,4.883069271971933e-5
DEU,4.590263206e9,80601,401,401.0,401.0,28546.235446296974,358347.7462935908,1.0,0.0010384439902749395,0.08267543859649124,0.00024799321576697873,0.0003234440320533036
DJI,5.540194e6,1,1,1.0,1.0,5.540194e6,NaN,1.0,0.0,0.0,0.0,0.0
DMA,2.4182714e7,1,1,1.0,1.0,2.4182714e7,NaN,1.0,0.0,0.0,0.0,0.0
DNK,4.387646e7,66,11,11.0,11.0,362615.37190082646,1.6248293960199591e6,1.0,0.04242424242424243,0.26666666666666666,1.3340998514056384e-5,1.6149949046910758e-5
DOM,4.77871698e8,528,32,32.0,32.0,466671.580078125,2.752466139524808e6,1.0,0.009811827956989247,0.13548387096774195,1.343172066038594e-5,1.622892203311747e-5
DZA,8.2992254e7,1176,48,48.0,48.0,36020.94357638889,260298.25290943496,1.0,0.008971245760098676,0.28075855689176693,0.00013728300850873967,0.0002157754833141278
ECU,1.6347097e8,300,24,24.0,24.0,283803.7673611111,1.8653233361076692e6,1.0,0.025691699604743084,0.19367588932806323,3.5415768308699016e-5,4.813054678393779e-5
EGY,4.6176436e7,378,27,27.0,27.0,63342.16186556927,388671.1568788096,1.0,0.014017094017094016,0.13538461538461538,0.00011567103760282383,0.00014743658809052607
ERI,4.14061037e8,15,5,5.0,5.0,1.656244148e7,2.82127044229564e7,1.0,0.03333333333333333,0.16666666666666666,2.2177621576516202e-7,2.618520969017725e-7
ESP,3.8595421e8,1770,59,59.0,59.0,110874.52168916978,2.139296832619471e6,1.0,0.006039353204753554,0.11131276467029644,0.00015394760653418248,0.0002057138803667382
