ISO,total_SCI,total_edges,total_nodes,average_indegree,average_outdegree,average_SCI,std_SCI,global_clustering,average_betweenness,max_betweenness,average_closeness,max_closeness
TTO,4.10744674e8,120,15,15.0,15.0,1.8255318844444444e6,3.6133609127985574e6,1.0,0.03003663003663004,0.2087912087912088,1.218125398699279e-6,1.553533200558029e-6
TUN,1.03656073e8,300,24,24.0,24.0,179958.46006944444,679698.062630548,1.0,0.014822134387351776,0.2727272727272727,1.9657954075655097e-5,2.7321722789048978e-5
TUR,3.95638052e8,3321,81,81.0,81.0,60301.48635878677,574375.4698053843,1.0,0.004610095327394905,0.18401898734177216,0.00011734978097977638,0.00016408539824551687
TUV,1.82641577e8,1,1,1.0,1.0,1.82641577e8,NaN,1.0,0.0,0.0,0.0,0.0
TWN,1.1535817e7,28,7,7.0,7.0,235424.83673469388,1.3543129354146293e6,1.0,0.019047619047619046,0.06666666666666667,3.5313088089890626e-5,3.7945143970200416e-5
TZA,4.94773178e8,465,30,30.0,30.0,549747.9755555555,1.6767495332478508e6,1.0,0.018555008210180624,0.4876847290640394,5.113767831214856e-6,7.673870049096892e-6
UGA,4.055287089e9,1653,57,57.0,57.0,1.2481646934441368e6,6.265844066423323e6,1.0,0.00794030530872636,0.21948051948051947,3.3100679439142807e-6,4.755604394857833e-6
UKR,2.9812022e7,276,23,23.0,23.0,56355.42911153119,228701.50995092394,1.0,0.013739883305100698,0.1774891774891775,0.00010903213530518421,0.00014329727018700295
URY,4.73925292e8,190,19,19.0,19.0,1.3128124432132964e6,5.19576503897638e6,1.0,0.015135878912968697,0.08496732026143791,4.620291489211467e-6,5.6315184826436605e-6
USA,2.88552481781e11,5201925,3225,3225.0,3225.0,27743.763646992367,1.46026674865118e6,1.0,0.00034859118678661117,0.2598593824358686,0.0544550673683135,0.06244673433020841
UZB,3.3876664e7,105,14,14.0,14.0,172840.1224489796,545800.5214783852,1.0,0.048534798534798536,0.6538461538461539,2.7920623883689414e-5,4.5500841765572666e-5
VCT,1.6015167e7,1,1,1.0,1.0,1.6015167e7,NaN,1.0,0.0,0.0,0.0,0.0
VGB,3.8020427e7,1,1,1.0,1.0,3.8020427e7,NaN,1.0,0.0,0.0,0.0,0.0
VIR,1.9774111e7,1,1,1.0,1.0,1.9774111e7,NaN,1.0,0.0,0.0,0.0,0.0
VNM,1.01513967e8,2016,63,63.0,63.0,25576.71126228269,156471.95105314013,1.0,0.006345848757271284,0.09201480698043363,0.00019405679389491705,0.00023249099097409975
VUT,8.019636e6,1,1,1.0,1.0,8.019636e6,NaN,1.0,0.0,0.0,0.0,0.0
WSM,6.608053e6,1,1,1.0,1.0,6.608053e6,NaN,1.0,0.0,0.0,0.0,0.0
XKO,4.722996e7,28,7,7.0,7.0,963876.7346938775,1.716486132617493e6,1.0,0.03809523809523809,0.13333333333333333,3.856009592903406e-6,4.396283967704898e-6
ZAF,7.034584e6,45,9,9.0,9.0,86846.71604938271,229094.2751931088,1.0,0.05952380952380951,0.3571428571428571,6.682656295685275e-5,9.1755746203606e-5
ZMB,1.36484985e8,55,10,10.0,10.0,1.36484985e6,2.938050283711324e6,1.0,0.01666666666666667,0.08333333333333334,1.8647431347681688e-6,2.179387306425003e-6
ZWE,1.03254071e8,55,10,10.0,10.0,1.03254071e6,2.3274904528915123e6,1.0,0.038888888888888896,0.2777777777777778,2.65318294270072e-6,3.4071421270409727e-6
